,Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
1826,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0
1827,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0184331797235023
1828,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,0.0
1829,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.0
1830,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,0.0
1831,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0228723404255319
1832,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.0444582299421009
1833,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.023015873015873
1834,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,0.0
1835,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0168269230769231
1836,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.031691324008026
1840,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.003107544141252
1841,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.0232306861156132
1843,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.0867840317381602
1844,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.0249614791987673
1845,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0025794242310334
1846,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.00735088862008
1847,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.0909659268521413
1848,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.0
1849,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.0146788990825688
1850,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.0
1851,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.0009219988936013
1852,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.0
1853,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.0
1854,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,0.0
1855,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
1856,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0.0
1857,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0
1858,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,0.088125
1859,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,0.0012106537530266
1860,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,0.0
1861,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0.0
1862,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,0.0
1863,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,0.0
1864,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,0.0
1865,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,0.0
1866,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0.0
1867,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0.0
1868,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0.0
1869,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,0.0010183132134351
1870,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,0.0039840637450199
1871,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,0.0017683465959328
1872,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,0.0
1873,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,0.0
1874,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,0.0016025641025641
1875,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,
1876,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,0.0428571428571429
1877,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,0.0067567567567567
1878,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,0.0
1879,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,0.0
1880,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0.0
1881,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0.0
1882,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,0.0141242937853107
1883,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,0.0004280821917808
1884,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,0.0011467889908256
1885,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,0.0031948881789137
1886,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,0.0
1887,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0.0
1888,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,0.0
1889,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.0
1890,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,0.0
1891,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,0.0
1892,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,0.0
1893,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,0.0068707058088694
1894,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0
1895,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0
1896,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,0.0
1897,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.0
1898,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,0.0
1899,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0
1900,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.0905422853453841
1901,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.0
1902,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,0.0
1903,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0
1904,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.178823166235058
1908,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.0565526509732518
1909,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.157674304015767
1911,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.178567142685707
1912,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.0439771970089583
1913,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0880891057792237
1914,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.0639205782461029
1915,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.192963878103306
1916,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.0
1917,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.0423843622992065
1918,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.0277777777777778
1919,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.0603727714748784
1920,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.0277777777777778
1921,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.0444444444444444
1922,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,0.0
1923,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
1924,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0.08
1925,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0114503816793893
1926,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,0.180268660499303
1927,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,0.0585635359116022
1928,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,0.0175438596491228
1929,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0.0
1930,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,0.025
1931,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,0.0384615384615385
1932,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,0.0
1933,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,0.0
1934,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0.0
1935,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0.0
1936,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0.0740740740740741
1937,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,0.0599558220258757
1938,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,0.034
1939,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,0.0097402597402597
1940,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,0.0
1941,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,0.0
1942,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,0.122504047490556
1943,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,0.117647058823529
1944,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,0.148148148148148
1945,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,0.0220264317180617
1946,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,0.0
1947,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,0.0720720720720721
1948,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0.0
1949,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0.0
1950,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,0.0397643593519882
1951,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,0.0
1952,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,0.0680347568866704
1953,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,0.0098039215686274
1954,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,0.0
1955,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0.0
1956,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,0.0
1957,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.0
1958,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,0.0
1959,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,0.0
1960,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,0.0868586858685869
1961,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,0.0670953312831982
1962,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0
1963,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0
1964,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,0.0
1965,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.0415094339622641
1966,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,0.0
1967,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0024570024570024
1968,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.19435736677116
1969,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.0031201248049922
1970,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,0.0
1971,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0
1972,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.117700568242229
1976,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.027792572507626
1977,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.138879896406604
1979,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.121741027598996
1980,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.0375618917534574
1981,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0286203142012755
1982,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.0780926604043942
1983,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.0856730104892909
1984,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.0
1985,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.0303617571059432
1986,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.0
1987,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.0060406370126304
1988,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.0
1989,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.0
1990,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,
1991,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
1992,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0.0689655172413793
1993,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0078740157480315
1994,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,0.108083966056275
1995,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,0.0077519379844961
1996,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,0.0079365079365079
1997,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0.0
1998,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,0.0512820512820513
1999,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,0.0
2000,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,0.0
2001,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,0.0
2002,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0.0
2003,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0.0
2004,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0.0
2005,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,0.0066310554429913
2006,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,0.01
2007,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,0.0020682523267838
2008,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,0.0
2009,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,0.0
2010,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,0.107566765578635
2011,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,0.0
2012,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,0.109243697478992
2013,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,0.0
2014,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,0.0
2015,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,0.037037037037037
2016,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0.0
2017,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0.0
2018,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,0.0297619047619048
2019,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,0.0003691399040236
2020,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,0.0052631578947368
2021,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,0.0131004366812227
2022,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,0.0
2023,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0.0
2024,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,0.0
2025,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.0
2026,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,0.0
2027,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,0.0
2028,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,0.0889795918367347
2029,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,0.0451835582052087
2030,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0
2031,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0
2032,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,0.0
2033,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.0108695652173913
2034,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,0.0
2035,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0023640661938534
2036,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.0857743250127356
2037,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.0025641025641025
2038,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,0.0
2039,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0
2040,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.107915122937016
2044,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.0681154127100073
2045,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.0893782383419689
2047,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.0813953488372093
2048,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.111904761904762
2049,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0276250327310814
2050,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.134955185659411
2051,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.0969162995594714
2052,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.0
2053,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.0901360544217687
2054,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.0
2055,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.0252100840336134
2056,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.0
2057,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.0
2058,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,
2059,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
2060,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,
2061,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0869565217391304
2062,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,0.0707850707850708
2063,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,0.0252100840336134
2064,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,0.0
2065,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,0.0
2066,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,0.0
2067,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,0.0
2068,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,0.0
2069,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,0.0666666666666667
2070,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,0.0
2071,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,0.0
2072,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,0.0
2073,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,0.0252459625023204
2074,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,0.0
2075,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,0.0884353741496599
2076,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,0.0
2077,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,0.0865384615384615
2078,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,0.0144927536231884
2079,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,
2080,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,0.0
2081,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,0.0
2082,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,0.0833333333333333
2083,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,0.0
2084,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,0.0
2085,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,0.0
2086,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,0.0821917808219178
2087,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,0.070285316631872
2088,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,0.0254854368932039
2089,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,0.0714285714285714
2090,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,0.0476190476190476
2091,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,0.0
2092,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,
2093,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.0
2094,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,0.0
2095,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sierra Leone,SLE,,0.0571428571428571
2096,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Singapore,SGP,,0.0133333333333333
2097,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,South Africa,ZAF,,0.0842824601366743
2098,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Eswatini,SWZ,,0.0
2099,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Togo,TGO,,0.0431654676258993
2100,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tonga,TON,,
2101,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Trinidad and Tobago,TTO,,0.0
2102,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Tuvalu,TUV,,
2103,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Uganda,UGA,,0.0852713178294574
2104,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Kingdom,GBR,,0.0960264900662252
2105,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,United Republic of Tanzania,TZA,,0.0924932975871314
2106,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Samoa,WSM,,
2107,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Zambia,ZMB,,0.0714285714285714
2108,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,0.0809993168732312
2112,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,0.0622279569892473
2113,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,0.0749637606129634
2115,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,0.0723589001447178
2116,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,0.0506223198410208
2117,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,0.0697899547490939
2118,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,0.0499812100714017
2119,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,0.0232037691401649
2120,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,0.0
2121,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,0.048717115946736
2122,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,0.0
2123,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,0.0603722197004085
2124,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,0.0
2125,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,0.0
2126,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,0.0
2127,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,0.0
2128,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,0.0526315789473684
2129,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,0.0467562828755114
